Country,Geographic_region,Private_company,End_target,End_target_year,Status_of_end_target,Interim_target,Interim_target_year,GHGs_covered,Scope_1_coverage,Scope_2_coverage,Published_plan,Reporting_mechanism,Accountability_delivery,Carbon_credits,Separate_removal_target,Planning_removals,Historical_emissions,Race_to_zero_member,Industry,log_revenue,log_employees,Scope_3_coverage
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Not Specified,Yes,Yes,Yes,Less than annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,22.267418282895374,8.81001204797317,No
USA,North America,No,Net zero,2030.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,No,Not Specified,No,Not Specified,No,Yes,Services,22.079873887953475,9.235130540783402,Partial
IND,South Asia,No,Carbon neutral(ity),2040.0,In corporate strategy,Emissions reduction target,2033.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,Manufacturing,23.404629772854584,11.246691723724316,Partial
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,21.365119723645122,8.117908942383155,Not Specified
KOR,East Asia,No,Carbon negative,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,No reporting mechanism,Yes,Not Specified,No,Not Specified,No,No,Services,22.573608630430545,8.450839690866216,Partial
CAN,North America,No,Climate neutral,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Yes (nature-based and CCS-based removals),No,Yes,Services,23.41111333079913,11.578722568760277,Partial
IND,South Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,Yes,Not Specified,Yes,No,"Food, beverage & agriculture",22.928458584042037,10.91956931926324,Yes
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,No,No,No,Annual reporting,Not Specified,No,No,Not Specified,No,No,Fossil Fuels,23.876215511741172,9.62251624577579,No
CHN,East Asia,No,Emissions reduction target,2032.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,No,No,No,Manufacturing,24.646268346437346,11.79047386476276,Partial
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,24.487670116169774,10.555604383538082,Yes
CHE,Europe,No,Emissions reduction target,2035.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,No,No,Not Specified,No,No,Infrastructure,21.977171010305945,9.315690887584008,No
ESP,Europe,No,Net zero,2050.0,In corporate strategy,Net zero or similar,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,Services,22.78645095623377,9.846705538437144,Partial
USA,North America,No,Emissions reduction target,2034.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,Yes,No,Services,21.2965027213975,7.447751280047908,Yes
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Net zero or similar,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,Services,22.544745907785334,8.928905412284868,Yes
GBR,Europe,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,No,No,No,No,Yes,Materials,23.602632819425306,10.85562793730398,Yes
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,Retail,23.667757446359435,10.960878461384734,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2031.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,Yes,Not Specified,No,Yes,Services,24.358085014236792,11.244444531767412,Yes
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,"Food, beverage & agriculture",23.45990349496532,10.371457865995689,Yes
JPN,East Asia,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,20.880269586610776,8.030084094267563,No
USA,North America,No,Emissions reduction target,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Power generation,23.88391915265659,9.5655642636476,Yes
ESP,Europe,No,Carbon neutral(ity),2030.0,In corporate strategy,Emissions reduction target,2024.0,Not Specified,Yes,Yes,No,Less than annual reporting,Not Specified,Yes,Yes,Not Specified,No,Yes,Services,24.145604818394578,10.32829766690807,No
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,No,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,Hospitality,10.494629692640487,12.796636007394284,Partial
DEU,Europe,No,Net zero,2030.0,In corporate strategy,Net zero or similar,2021.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Yes,Yes,Yes,Yes (nature-based and CCS-based removals),No,No,Manufacturing,22.8665034368236,10.390532647636716,Yes
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,Services,24.8539101839102,10.993664362383136,Yes
IND,South Asia,No,Net zero,2035.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (nature-based and CCS-based removals),No,Yes,Services,22.558563608348514,11.909901307682407,Yes
IND,South Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2027.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,Materials,24.035267639840537,10.619252022961483,Not Specified
CAN,North America,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Power generation,22.042351448640233,9.009936307631463,Partial
RUS,Europe,No,Carbon neutral(ity),2050.0,Declaration / pledge,Emissions intensity target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,Yes,Yes (nature-based and CCS-based removals),No,No,Fossil Fuels,9.763823105408154,11.296769940423644,Not Specified
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,24.30140924199361,9.492959650085501,Not Specified
KOR,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,"Food, beverage & agriculture",8.410498452745275,8.397508348470257,Yes
CAN,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Services,25.198782814719017,11.328533766911674,Partial
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Services,24.22180164319372,7.608374474380783,Yes
DEU,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Manufacturing,25.148531542668124,12.69771850797869,Yes
GBR,Europe,Yes,Net zero,2050.0,In corporate strategy,Net zero or similar,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,Yes,Yes (unspecified),No,No,Services,24.529928326738954,9.754784507365798,Yes
DEU,Europe,No,Carbon neutral(ity),2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Manufacturing,24.44698140591995,12.201256064404575,Yes
TWN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Materials,23.08525127331614,10.051476430249577,Yes
JPN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,Yes,Annual reporting,Not Specified,Not Specified,No,No,Yes,No,Services,21.80337465438952,9.140990293841389,Not Specified
USA,North America,No,Carbon neutral(ity),2025.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,No,Yes,No,No,No,No,Services,23.055409732279088,10.915106645867503,No
CHE,Europe,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (unspecified),No,Yes,Manufacturing,9.453992183921743,11.146589719689185,Partial
CHN,East Asia,No,Emissions reduction target,2025.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,10.003966171102347,9.078635880978755,Not Specified
USA,North America,No,Net zero,2025.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Services,21.722426047011048,9.012011377036412,Yes
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,No,No,No,Infrastructure,23.413219953847097,10.625076406727377,Not Specified
USA,North America,No,Net zero,2050.0,Declaration / pledge,Emissions reduction target,2034.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Services,21.678777282358464,9.137877200242468,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,Yes,Yes (unspecified),No,No,"Food, beverage & agriculture",23.9754216870881,10.491301994830229,Yes
TUR,Western and Central Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,No,No,Not Specified,No,No,Services,9.826876450164288,9.508888197738269,Partial
POL,Europe,No,Net zero,2050.0,Declaration / pledge,Other,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,No reporting mechanism,Not Specified,Not Specified,No,Yes (unspecified),No,No,Fossil Fuels,25.035500173547575,11.124464955677889,Yes
ISR,Western and Central Asia,No,Emissions reduction target,2030.0,In corporate strategy,Emissions reduction target,2026.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,23.15591381432643,8.966228514225776,Yes
BMU,Latin America and the Caribbean,No,Net zero,2050.0,In corporate strategy,Other,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Manufacturing,24.30062696608974,13.001327306361068,No
FRA,Europe,No,Carbon neutral(ity),2050.0,Declaration / pledge,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Yes (nature-based and CCS-based removals),No,No,Services,24.011667724500537,11.669937760751914,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Other,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,Retail,26.525900695240427,12.611541086966115,Yes
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,No,No,No,No reporting mechanism,No,No,No,No,No,No,Power generation,22.357396362166003,4.48863636973214,No
SWE,Europe,No,Net zero,2045.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,Yes,Yes (unspecified),Yes,Yes,Infrastructure,9.722744748855389,10.162885884509508,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",23.740955277901357,8.732465848349879,Yes
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Yes,No,Not Specified,Yes,No,Fossil Fuels,23.595360470098804,8.121183242078828,No
HKG,East Asia,No,Carbon neutral(ity),2060.0,In corporate strategy,Other,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Yes (nature-based and CCS-based removals),No,No,Hospitality,21.964245367190543,9.957075711706057,No
FRA,Europe,Yes,Zero carbon,2050.0,In corporate strategy,Emissions reduction target,2040.0,Carbon dioxide only,Not Specified,Not Specified,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Transportation services,24.171664820124658,10.442229854296327,Yes
AUS,Oceania,No,Net zero,2050.0,In corporate strategy,Net zero or similar,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,Services,10.035392623416067,9.508962384466297,Yes
CHN,East Asia,No,Carbon neutral(ity),2060.0,In corporate strategy,Other,2030.0,Carbon dioxide only,Not Specified,Not Specified,Yes,Annual reporting,No,Yes,No,Not Specified,No,No,Power generation,23.543095905568247,10.238887786196006,Not Specified
CHN,East Asia,No,No target,2045.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,No,No,No,"Biotech, health care & pharma",21.847220933611307,9.934840860194123,No
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,Power generation,24.0590354133217,9.65745912868446,Partial
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,No,No,No,Manufacturing,23.71448795507274,10.860824253846284,Not Specified
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,No,Materials,10.112897224395695,10.25769445336048,No
CAN,North America,No,Net zero,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Yes,Yes,No,Not Specified,No,No,Services,25.312509872394404,11.451060699493427,Yes
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,No,No,Yes,Services,24.541659249614394,9.622781093820773,Partial
USA,North America,No,Net zero,2040.0,Declaration / pledge,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,No,No,No,Not Specified,No,Yes,Services,23.045653557334674,10.902297921958713,Yes
CAN,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",23.885571310368547,11.775297421715827,Yes
USA,North America,No,Other,2025.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",23.04152740942391,10.933124826700707,Not Specified
PHL,East Asia,No,Net zero,2050.0,Declaration / pledge,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Services,22.35250637687277,5.056245805348308,Partial
NLD,Europe,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,No,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",Yes,Yes,Materials,23.163000768174875,10.451637862362272,Partial
USA,North America,No,Net zero,2040.0,In corporate strategy,Other,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,"Food, beverage & agriculture",10.550014712460847,11.32781201446548,Yes
ITA,Europe,No,Net zero,2050.0,In corporate strategy,Other,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Services,22.395866324525908,9.822494393326597,Partial
USA,North America,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",25.714534808558497,12.921472880009725,Partial
DEU,Europe,No,Carbon neutral(ity),2040.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Yes,Yes,Yes (nature-based and CCS-based removals),No,Yes,Services,25.579894885236534,12.257402439251615,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions intensity target,2035.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Yes (unspecified),No,Yes,Transportation services,24.8493351388789,11.542493975902508,Yes
USA,North America,No,Carbon neutral(ity),2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Manufacturing,22.814265327583538,10.203629181337648,No
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Services,22.006142239145053,8.769817872052617,Yes
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Less than annual reporting,Yes,Not Specified,No,Not Specified,No,Yes,Apparel,23.43703299844414,11.314486721293981,Partial
TWN,East Asia,No,Climate neutral,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Materials,23.141409270663814,10.262873817519765,No
BRA,Latin America and the Caribbean,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,Infrastructure,22.579563827468288,8.62998601889136,Yes
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Services,20.446193944925906,7.956476798036782,No
IRL,Europe,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,No,No,No,No,No,Services,22.33270374958051,9.75272280064639,Yes
USA,North America,No,Emissions intensity target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Services,23.454381311044763,10.221977646629885,Partial
CHN,East Asia,No,Carbon neutral(ity),2060.0,In corporate strategy,Other,2030.0,Carbon dioxide only,Not Specified,Not Specified,Yes,Annual reporting,Not Specified,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Materials,25.0019715412741,10.179982279347332,Not Specified
CHE,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,No,No,Yes,Transportation services,24.061274896688317,11.481063211821445,Yes
AUS,Oceania,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,Fossil Fuels,23.132640424211846,8.612685172875459,Yes
IRL,Europe,No,Net zero,2045.0,In corporate strategy,Emissions intensity target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,No,"Biotech, health care & pharma",24.149871022575596,11.461642696843066,Yes
CHN,East Asia,No,Emissions reduction target,2025.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.45350444970346,9.73890767721833,Not Specified
ESP,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,Yes,Services,22.194177273731942,7.88758403166028,Yes
SWE,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,No,No,Yes,"Food, beverage & agriculture",23.34204757036333,10.043292972227004,Yes
CHN,East Asia,No,Carbon neutral(ity),2060.0,In corporate strategy,Emissions reduction target,2025.0,Not Specified,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Yes (unspecified),No,No,Services,24.697324233312806,11.089301477871125,Not Specified
CHL,Latin America and the Caribbean,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,24.059560008793497,10.67016396638419,Not Specified
DNK,Europe,No,Net zero,2030.0,Declaration / pledge,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,No,No,Not Specified,No,Yes,"Biotech, health care & pharma",22.104798881215785,9.719564714375199,Partial
USA,North America,No,Net zero,2035.0,Declaration / pledge,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,Yes,Services,26.739562011374453,12.899222326086994,No
HKG,East Asia,No,Emissions reduction target,2025.0,In corporate strategy,Emissions reduction target,2023.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",21.976028805727495,10.063733901678225,Yes
USA,North America,No,Net zero,2040.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Yes (nature-based and CCS-based removals),No,Yes,Apparel,22.662007496666998,10.060534035475412,Yes
CHN,East Asia,No,Other,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Not Specified,Not Specified,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,22.70233440461766,9.882876598632004,Not Specified
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",23.17659581671889,9.729193687429403,Yes
USA,North America,No,Emissions intensity target,2030.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Manufacturing,23.61558015135736,11.170449240431308,Partial
AUS,Oceania,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Transportation services,7.8709295967551425,9.210440366976517,Yes
USA,North America,No,No target,2050.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,No,No,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Infrastructure,9.792053072089823,8.82379514872053,No
DEU,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Food, beverage & agriculture",24.251330790580187,11.37446767182266,Yes
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,No,No,Yes,Services,24.72695603091863,9.754784507365798,Partial
ESP,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Fossil Fuels,24.2983044746646,8.869679374733515,Yes
HKG,East Asia,No,Other,2060.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,No,No reporting mechanism,Not Specified,Not Specified,No,Not Specified,No,No,Infrastructure,22.909991043958204,10.633014877188824,Not Specified
CHN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2035.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,Hospitality,23.148334014243478,12.765691290604371,Yes
NLD,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,Yes,"Biotech, health care & pharma",9.457200449907708,10.308985993422082,Yes
IND,South Asia,No,Carbon neutral(ity),2030.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,25.073892099742693,12.372548486119378,Not Specified
CHE,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,No,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,Yes,"Food, beverage & agriculture",25.365086127219406,12.531776395271262,Partial
DEU,Europe,No,Net zero,2040.0,In corporate strategy,Absolute emissions target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Infrastructure,24.420163062678732,9.815257251141714,Yes
IND,South Asia,No,Emissions reduction target,2027.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Services,23.637896509117585,11.268405047896433,Partial
