Country,Geographic_region,Private_company,End_target,End_target_year,Status_of_end_target,Interim_target,Interim_target_year,GHGs_covered,Scope_1_coverage,Scope_2_coverage,Published_plan,Reporting_mechanism,Accountability_delivery,Carbon_credits,Separate_removal_target,Planning_removals,Historical_emissions,Race_to_zero_member,Industry,log_revenue,log_employees,Scope_3_coverage
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Less than annual reporting,Not Specified,Not Specified,No,Yes (unspecified),No,Yes,Services,25.637338834341055,11.670792089258995,Yes
ESP,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Less than annual reporting,Yes,Yes,No,Not Specified,No,Yes,Services,25.221596636519514,11.743378238716847,Not Specified
USA,North America,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide only,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Retail,23.650344467236906,11.744045122410057,No
GBR,Europe,No,Net zero,2045.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",22.35250637687277,9.777810944448126,Yes
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,23.685803205694448,10.428452739855837,Yes
JPN,East Asia,No,Zero emissions,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,Infrastructure,24.00560460476279,10.38176932322609,Yes
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Yes (nature-based and CCS-based removals),No,No,Power generation,23.430849262525875,9.956696510867271,Yes
CAN,North America,No,1.5°C target,2030.0,Declaration / pledge,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,Yes,Yes,Services,23.10706218545748,11.41034995646615,Partial
ITA,Europe,No,Net zero,2050.0,In corporate strategy,Net zero or similar,2024.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Services,23.143900596803135,9.877708099548641,Yes
NLD,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,Yes,Yes (unspecified),No,No,"Food, beverage & agriculture",25.294424120353142,12.310437165348775,Yes
USA,North America,No,Carbon neutral(ity),2025.0,Achieved (self-declared),Emissions reduction target,2022.0,Not Specified,Yes,Yes,No,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,25.086466367382982,11.102080913567551,No
THA,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,No,Yes,No,Yes (nature-based and CCS-based removals),No,No,Materials,23.311029872249307,10.432644132986843,Yes
CHN,East Asia,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,"Biotech, health care & pharma",23.070154855592648,10.096171896365629,Partial
RUS,Europe,No,Emissions reduction target,2030.0,In corporate strategy,No target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Yes (unspecified),No,No,Fossil Fuels,25.55248316589479,11.559207725070786,No
SWE,Europe,No,Net zero,2030.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Not Specified,No,Yes (unspecified),No,Yes,Services,22.679691927871062,9.76445534384057,Yes
USA,North America,No,Emissions intensity target,2025.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Yes,No,Not Specified,No,No,Transportation services,23.59824190942102,9.531118671917154,No
TWN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Not Specified,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,No,Not Specified,No,No,Services,23.960178024339996,10.64363758669141,No
CHN,East Asia,No,No target,2050.0,In corporate strategy,No target,2030.0,Not Specified,Not Specified,Not Specified,Yes,Annual reporting,Not Specified,Not Specified,No,Not Specified,No,No,Services,23.332232079898333,10.090299014602934,Not Specified
IND,South Asia,No,Net zero,2047.0,In corporate strategy,Other,2025.0,Carbon dioxide and other GHGs,Yes,Yes,No,Annual reporting,Yes,Not Specified,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Infrastructure,22.41649327529412,10.156888691011035,No
BRA,Latin America and the Caribbean,No,Net zero,2030.0,In corporate strategy,No target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,Yes,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Power generation,22.732016638137633,8.95040315983296,Yes
JPN,East Asia,No,Net zero,2041.0,In corporate strategy,Emissions reduction target,2031.0,Not Specified,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,No,Yes,Retail,23.835936345012765,11.564350250712412,Partial
FRA,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,No,Fossil Fuels,25.999363156597717,11.541396296945923,Partial
FRA,Europe,No,Net zero,2040.0,Declaration / pledge,Emissions reduction target,2026.0,Not Specified,Yes,Yes,Yes,Less than annual reporting,Not Specified,Not Specified,No,Not Specified,No,Yes,Services,22.871533569672785,12.930580402220027,Yes
JPN,East Asia,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Yes,No,Not Specified,Yes,Yes,Services,23.521400466214853,11.28407817823934,Yes
CAN,North America,No,Net zero,2050.0,Declaration / pledge,Emissions reduction target,2030.0,Not Specified,Yes,Yes,No,Annual reporting,No,Yes,No,Not Specified,No,No,Materials,20.974802463539444,3.8066624897703196,Partial
JPN,East Asia,No,Carbon neutral(ity),2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,Yes,Manufacturing,23.13667648511885,9.953134492425542,Not Specified
GBR,Europe,No,Net zero,2050.0,In corporate strategy,Emissions reduction target,2030.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Not Specified,No,No,No,No,Yes,Services,23.00687196344457,10.797553125151618,No
USA,North America,No,Zero carbon,2045.0,In corporate strategy,Emissions reduction target,2025.0,Carbon dioxide and other GHGs,Yes,Yes,Yes,Annual reporting,Yes,Not Specified,No,Not Specified,No,No,Power generation,23.93075710298843,9.729193687429403,Partial
